name,cuisine,location,link
Bamboo,Chinese,"1441 Polk St San Francisco, CA, 94109 ",/ca/san-francisco/44474-bamboo/menu/
Manhattan Hub,"American, American (New)","343 Sansome St San Francisco, CA, 94104 ",/ca/san-francisco/64954-manhattan-hub/menu/
Hong Kong Lounge 2,"Chinese, Dim Sum","3300 Geary Blvd San Francisco, CA, 94118 ",/ca/san-francisco/359334-hong-kong-lounge-2/menu/
Little Vietnam Cafe,Vietnamese,"309 6th Ave San Francisco, CA, 94118 ",/ca/san-francisco/61882-little-vietnam-cafe/menu/
Harrington's Bar & Grill,"Bar Food, Sandwiches","245 Front St San Francisco, CA, 94111 ",/ca/san-francisco/64971-harringtons-bar-grill/menu/
Pluto's,"American, Sandwiches","627 Irving St San Francisco, CA, 94122 ",/ca/san-francisco/44493-plutos/menu/
L'Ottavo Ristorante,Italian,"692 Sutter St San Francisco, CA, 94102 ",/ca/san-francisco/45514-lottavo-ristorante/menu/
New Eritrea Restaurant & Bar,"African, Ethiopian, Vegetarian","907 Irving St San Francisco, CA, 94122 ",/ca/san-francisco/45938-new-eritrea-restaurant-bar/menu/
Hang Ah Tea Room,"Chinese, Dim Sum","1 Pagoda Pl San Francisco, CA, 94108 ",/ca/san-francisco/44508-hang-ah-tea-room/menu/
Hong Kee & Kim,"Vegetarian, Vietnamese","91 Drumm St San Francisco, CA, 94111 ",/ca/san-francisco/354952-hong-kee-kim/menu/
New Delhi Restaurant,Indian,"160 Ellis St San Francisco, CA, 94102 ",/ca/san-francisco/22421-new-delhi-restaurant/menu/
Melody Cafe,Middle Eastern,"3401 Mission St San Francisco, CA, 94110 ",/ca/san-francisco/308327-melody-cafe/menu/
Wild Pepper,"Chinese, Dim Sum","3601 26th St San Francisco, CA, 94110 ",/ca/san-francisco/81860-wild-pepper/menu/
Chicos Pizza,"Pizza, Sandwiches","468 Ellis St San Francisco, CA, 94102 ",/ca/san-francisco/339513-chicos-pizza/menu/
Bayshore Taqueria,,"300 Bay Shore Blvd Ste A San Francisco, CA, 94124 ",/ca/san-francisco/435764-bayshore-taqueria/menu/
Yank Sing 2 Go,"Chinese, Dim Sum","101 Spear St San Francisco, CA, 94105 ",/ca/san-francisco/91353-yank-sing-2-go/menu/
Grubstake Diner,"American, Portuguese","1525 Pine St San Francisco, CA, 94109 ",/ca/san-francisco/46795-grubstake-diner/menu/
La Torta Gorda,"Mexican, Sandwiches","2833 24th St San Francisco, CA, 94110 ",/ca/san-francisco/81798-la-torta-gorda/menu/
Kusina Ni Tess,Filipino,"237 Ellis St San Francisco, CA, 94102 ",/ca/san-francisco/372993-kusina-ni-tess/menu/
Kaiju Eats Ramen & Izakaya,"Japanese, Noodles, Sushi","3409 Geary Blvd San Francisco, CA, 94118 ",/ca/san-francisco/395776-kaiju-eats-ramen-izakaya/menu/
Sweet Maple Express,"American, Diner, Sandwiches","375 Taylor St San Francisco, CA, 94102 ",/ca/san-francisco/328047-sweet-maple-express/menu/
Jang Soo Bbq,Korean,"6314 Geary Blvd San Francisco, CA, 94121 ",/ca/san-francisco/276226-jang-soo-bbq/menu/
Spices,Chinese,"291 6th Ave San Francisco, CA, 94118 ",/ca/san-francisco/62183-spices/menu/
Daigo Sushi,"Japanese, Sushi","2450 Clement St San Francisco, CA, 94121 ",/ca/san-francisco/315096-daigo-sushi/menu/
Hakka Restaurant,Chinese,"4401 Cabrillo St San Francisco, CA, 94121 ",/ca/san-francisco/300811-hakka-restaurant/menu/
Piccolo Pizza,Pizza,"799 O'Farrell St San Francisco, CA, 94109 ",/ca/san-francisco/276450-piccolo-pizza/menu/
Bisou Bistronomy,"Bistro, French","2367 Market St San Francisco, CA, 94114 ",/ca/san-francisco/328756-bisou-bistronomy/menu/
Hunan Empire,Chinese,"2001 Union St Suite 107 San Francisco, CA, 94123 ",/ca/san-francisco/46702-hunan-empire/menu/
All Star Cafe,,"98 9th St San Francisco, CA, 94103 ",/ca/san-francisco/496653-all-star-cafe/menu/
Estela's Sandwiches,"Sandwiches, Smoothies & Juices","250 Filmore St San Francisco, CA, 94117 ",/ca/san-francisco/63147-estelas-sandwiches/menu/
Sens Restaurant,Mediterranean,"4 Embarcadero Center San Francisco, CA, 94111 ",/ca/san-francisco/267466-sens-restaurant/menu/
We Be Sushi,"Japanese, Sushi","538 Valencia St San Francisco, CA, 94110 ",/ca/san-francisco/63185-we-be-sushi/menu/
Nick's Crispy Tacos,"Local/Organic, Mexican","1500 Broadway St San Francisco, CA, 94109 ",/ca/san-francisco/44801-nicks-crispy-tacos/menu/
Perilla Vietnamese Cuisine,Vietnamese,"836 Irving St San Francisco, CA, 94122 ",/ca/san-francisco/300006-perilla-vietnamese-cuisine/menu/
Moonlight Cafe,"Coffee & Tea, Sandwiches","634 Cortland Ave San Francisco, CA, 94110 ",/ca/san-francisco/360555-moonlight-cafe/menu/
Chili Cha Cha 2,Thai,"3166 24th St San Francisco, CA, 94110 ",/ca/san-francisco/301003-chili-cha-cha-2/menu/
Yukol Place,Thai,"2380 Lombard St San Francisco, CA, 94123 ",/ca/san-francisco/45976-yukol-place/menu/
Uva Enoteca,"Alcohol, Italian","568 Haight St San Francisco, CA, 94117 ",/ca/san-francisco/272972-uva-enoteca/menu/
Royal Exchange,"American, Bar Food","301 Sacramento St. San Francisco, CA, 94111 ",/ca/san-francisco/64948-royal-exchange/menu/
Pizzelle di North Beach,"Italian, Pizza","314 Columbus Ave San Francisco, CA, 94133 ",/ca/san-francisco/276465-pizzelle-di-north-beach/menu/
Marina Sushi Bar,"Japanese, Sushi","2020 Lombard St San Francisco, CA, 94123 ",/ca/san-francisco/46078-marina-sushi-bar/menu/
Capital Restaurant,Chinese,"839 Clay St San Francisco, CA, 94108 ",/ca/san-francisco/46654-capital-restaurant/menu/
Elephant Sushi,"Japanese, Seafood, Sushi","1916 Hyde St San Francisco, CA, 94109 ",/ca/san-francisco/389250-elephant-sushi/menu/
Bellissimo Pizza,Pizza,"920 Sutter St San Francisco, CA, 94109 ",/ca/san-francisco/273991-bellissimo-pizza/menu/
The Pots,"Chinese, Soups","2652 Judah St San Francisco, CA, 94122 ",/ca/san-francisco/386685-the-pots/menu/
Kingdom of Dumpling,Chinese,"1713 Taraval St San Francisco, CA, 94116 ",/ca/san-francisco/276254-kingdom-of-dumpling/menu/
Pirro's Pizzeria,"Italian, Pizza, Sandwiches","2244 Taraval St San Francisco, CA, 94116 ",/ca/san-francisco/62173-pirros-pizzeria/menu/
Sushi On North Beach - Katsu,"Japanese, Sushi","745 Columbus Ave San Francisco, CA, 94133 ",/ca/san-francisco/276069-sushi-on-north-beach-katsu/menu/
Thai Cafe,Thai,"3407 Geary Blvd San Francisco, CA, 94118 ",/ca/san-francisco/276275-thai-cafe/menu/
SF Hole In The Wall Pizza,"Italian, Pizza, Sandwiches","1825 Irving St San Francisco, CA, 94122 ",/ca/san-francisco/44928-sf-hole-in-the-wall-pizza/menu/
Emo's Place Cafe,"American, Coffee & Tea, Hot Dogs","201 Turk St San Francisco, CA, 94102 ",/ca/san-francisco/379105-emos-place-cafe/menu/
Genki Crepes & Mini Mart,"Crepes, Desserts, Other","330 Clement St San Francisco, CA, 94118 ",/ca/san-francisco/275859-genki-crepes-mini-mart/menu/
Naan N Curry,Indian,"642 Irving St San Francisco, CA, 94122 ",/ca/san-francisco/44515-naan-n-curry/menu/
Cha-Am Thai,"Thai, Vegetarian","701 Folsom St San Francisco, CA, 94107 ",/ca/san-francisco/91325-cha-am-thai/menu/
Moscone Liquor & Deli,"American, Deli Food","689 Folsom St San Francisco, CA, 94107 ",/ca/san-francisco/91335-moscone-liquor-deli/menu/
Honey Honey Cafe and Crepery,"Crepes, Desserts, French, Sandwiches","599 Post St San Francisco, CA, 94102 ",/ca/san-francisco/276414-honey-honey-cafe-and-crepery/menu/
Fringale,"Bistro, French","570 4th St San Francisco, CA, 94107 ",/ca/san-francisco/21610-fringale/menu/
One Market Restaurant,"American (New), Local/Organic","1 Market St San Francisco, CA, 94105 ",/ca/san-francisco/20845-one-market-restaurant/menu/
E' Tutto Qua,Italian,"270 Columbus Avenue San Francisco, CA, 94133 ",/ca/san-francisco/355406-e-tutto-qua/menu/
Z & Y Restaurant,Chinese,"655 Jackson St San Francisco, CA, 94133 ",/ca/san-francisco/46635-z-y-restaurant/menu/
Higher Grounds Coffee House,Coffee & Tea,"691 Chenery St San Francisco, CA, 94131 ",/ca/san-francisco/275846-higher-grounds-coffee-house/menu/
Rhea's Cafe,"American (New), Sandwiches","2200 Bryant St San Francisco, CA, 94110 ",/ca/san-francisco/365292-rheas-cafe/menu/
Jolt n Bolt Bakery & Cafe,"Bakery & Pastries, Coffee & Tea, Desserts","2325 3rd Street San Francisco, CA, 94107 ",/ca/san-francisco/395693-jolt-n-bolt-bakery-cafe/menu/
Belly Good Cafe & Crepes,"Crepes, Desserts, Teahouses","1737 Post St #393 San Francisco, CA, 94115 ",/ca/san-francisco/276051-belly-good-cafe-crepes/menu/
Brazen Head,American,"3166 Buchanan St San Francisco, CA, 94123 ",/ca/san-francisco/61884-brazen-head/menu/
Golden Gate Pizza & Indian Cuisine,"American, Indian, Pizza","1388 46th Ave San Francisco, CA, 94122 ",/ca/san-francisco/276085-golden-gate-pizza-indian-cuisine/menu/
Macha Cafe,"Coffee & Tea, Japanese","1355 Sutter St San Francisco, CA, 94109 ",/ca/san-francisco/63240-macha-cafe/menu/
Begoni Bistro,"Bistro, Chinese, Vietnamese","615 Jackson St San Francisco, CA, 94133 ",/ca/san-francisco/477599-begoni-bistro/menu/
Level III,American (New),"500 Post St San Francisco, CA, 94102 ",/ca/san-francisco/266933-level-iii/menu/
Sacred Grounds Cafe,"Coffee & Tea, Sandwiches, Soups","2095 Hayes St San Francisco, CA, 94117 ",/ca/san-francisco/272052-sacred-grounds-cafe/menu/
The Deli King,"Deli Food, Sandwiches","1143 Taraval St San Francisco, CA, 94116 ",/ca/san-francisco/311141-the-deli-king/menu/
Great Eastern Restaurant,"Chinese, Dim Sum","649 Jackson St San Francisco, CA, 94133 ",/ca/san-francisco/46634-great-eastern-restaurant/menu/
Chouquet's,"Bistro, French","2500 Washington St San Francisco, CA, 94115 ",/ca/san-francisco/21315-chouquets/menu/
Ramen Izakaya Goku,"Japanese, Noodles","3232 16th St San Francisco, CA, 94103 ",/ca/san-francisco/378962-ramen-izakaya-goku/menu/
Pho #1,Vietnamese,"2571 San Bruno Ave San Francisco, CA, 94134 ",/ca/san-francisco/276362-pho-1/menu/
Ike's Place,"Sandwiches, Vegan, Vegetarian","1650 Holloway Ave San Francisco, CA, 94132 ",/ca/san-francisco/379484-ikes-place/menu/
Truly Mediterranean,"Mediterranean, Middle Eastern","3109 16th St San Francisco, CA, 94103 ",/ca/san-francisco/63230-truly-mediterranean/menu/
Zante Pizza,"Indian, Pizza","3489 Mission St San Francisco, CA, 94110 ",/ca/san-francisco/63638-zante-pizza/menu/
Eagle Pizzeria,"Italian, Pizza","1712 Taraval St San Francisco, CA, 94116 ",/ca/san-francisco/46832-eagle-pizzeria/menu/
Popeyes,"American, Wings","599 Divisadero St San Francisco, CA, 94117 ",/ca/san-francisco/175105-popeyes/menu/
Ten-Ichi,"Japanese, Sushi","2235 Fillmore St San Francisco, CA, 94115 ",/ca/san-francisco/45318-ten-ichi/menu/
KFC,"American, Chicken","4150 Geary Blvd San Francisco, CA, 94118 ",/ca/san-francisco/197763-kfc/menu/
Sanppo Japanese,"Japanese, Sushi","1702 Post Street San Francisco, CA, 94115 ",/ca/san-francisco/46071-sanppo-japanese/menu/
Mel's Drive-In,Diner,"2165 Lombard St San Francisco, CA, 94123 ",/ca/san-francisco/45977-mels-drive-in/menu/
House of Thai on Larkin,Thai,"901 Larkin St San Francisco, CA, 94109 ",/ca/san-francisco/44775-house-of-thai-on-larkin/menu/
Thats Amore SF,Coffee & Tea,"1901 Ocean Ave San Francisco, CA, 94127 ",/ca/san-francisco/476786-thats-amore-sf/menu/
La Traviata,Italian,"2854 Mission St San Francisco, CA, 94110 ",/ca/san-francisco/63174-la-traviata/menu/
Metro Caffe,Burgers,"247 Fillmore St. San Francisco, CA, 94117 ",/ca/san-francisco/45278-metro-caffe/menu/
Kippu Japanese Cuisine,"Japanese, Sushi","1707 Buchanan St San Francisco, CA, 94115 ",/ca/san-francisco/362573-kippu-japanese-cuisine/menu/
Golden State Pizza & Grill,"American, Burgers, Healthy, Pasta, Pizza, Salads, Sandwiches","3349 Mission St San Francisco, CA, 94110 ",/ca/san-francisco/276326-golden-state-pizza-grill/menu/
Los Yaquis,"Central American, Latin American, Mexican","324 S Van Ness Ave San Francisco, CA, 94103 ",/ca/san-francisco/300167-los-yaquis/menu/
DJ Sushi (Formerly Mura),Asian Fusion,"450 Broadway San Francisco, CA, 94133 ",/ca/san-francisco/396176-dj-sushi-formerly-mura/menu/
Mescolanza,Italian,"3750 Geary Blvd San Francisco, CA, 94118 ",/ca/san-francisco/62005-mescolanza/menu/
Sushi Suki,"Japanese, Sushi","360 W Portal Ave San Francisco, CA, 94127 ",/ca/san-francisco/62152-sushi-suki/menu/
B Star Bar,"Asian Fusion, Eclectic & International","127 Clement St San Francisco, CA, 94118 ",/ca/san-francisco/273997-b-star-bar/menu/
Alhamra Indian Pizza and Curry,"Indian, Pakistani","3083 16th St San Francisco, CA, 94103 ",/ca/san-francisco/276476-alhamra-indian-pizza-and-curry/menu/
Naples Pizzarella Restaurant,"Italian, Pasta, Pizza, Sandwiches","1192 Geneva Ave San Francisco, CA, 94112 ",/ca/san-francisco/308230-naples-pizzarella-restaurant/menu/
Regalito Rosticeria,Mexican,"3481 18th St San Francisco, CA, 94110 ",/ca/san-francisco/63219-regalito-rosticeria/menu/
Tokyo Express 3,"Japanese, Sushi","3251 20th Ave Ste 20 San Francisco, CA, 94132 ",/ca/san-francisco/62131-tokyo-express-3/menu/
Khan Toke Thai House,Thai,"5937 Geary Blvd San Francisco, CA, 94121 ",/ca/san-francisco/62026-khan-toke-thai-house/menu/
Axum Cafe,"African, Ethiopian","698 Haight St San Francisco, CA, 94117 ",/ca/san-francisco/276273-axum-cafe/menu/
Jitlada Thai Cuisine,Thai,"1826 Buchanan St San Francisco, CA, 94115 ",/ca/san-francisco/49949-jitlada-thai-cuisine/menu/
Cioppino's,"Fish & Chips, Italian, Seafood","400 Jefferson St San Francisco, CA, 94109 ",/ca/san-francisco/46079-cioppinos/menu/
Mitchell's Ice Cream,Desserts,"688 San Jose Avenue San Francisco, CA, 94110 ",/ca/san-francisco/349862-mitchells-ice-cream/menu/
North Beach Pizza,"American, Pizza, Subs","4787 Mission St San Francisco, CA, 94112 ",/ca/san-francisco/46728-north-beach-pizza/menu/
McDonald's,"American, Burgers","345 Bay Shore Blvd San Francisco, CA, 94124 ",/ca/san-francisco/216373-mcdonalds/menu/
Burrito Loco,Mexican,"850 Ulloa St San Francisco, CA, 94127 ",/ca/san-francisco/386235-burrito-loco/menu/
SF Pizza (Mission St),Pizza,"1270 Mission St San Francisco, CA, 94103 ",/ca/san-francisco/114397-sf-pizza-mission-st/menu/
A Desi Cafe,,"1501 Noriega st San Francisco, CA, 94122 ",/ca/san-francisco/486287-a-desi-cafe/menu/
Volcano Curry,Japanese,"5454 Geary Blvd San Francisco, CA, 94121 ",/ca/san-francisco/355794-volcano-curry/menu/
Taco Los Altos,Mexican,"737 Cortland Ave San Francisco, CA, 94110 ",/ca/san-francisco/81846-taco-los-altos/menu/
Sunrise Cafe,"American, Vietnamese","1114 Bryant St San Francisco, CA, 94103 ",/ca/san-francisco/355758-sunrise-cafe/menu/
Squat & Gobble,"Crepes, Other, Sandwiches","2263 Chestnut St San Francisco, CA, 94123 ",/ca/san-francisco/45995-squat-gobble/menu/
Piraat Pizzeria & Rotisserie,"Chicken, Pizza, Wings","696 Sutter St San Francisco, CA, 94102 ",/ca/san-francisco/45519-piraat-pizzeria-rotisserie/menu/
Mikado Sushi,"Japanese, Sushi","1684 Bryant St San Francisco, CA, 94103 ",/ca/san-francisco/63236-mikado-sushi/menu/
Evergreen Garden Restaurant,"Thai, Vietnamese","3100 18th St San Francisco, CA, 94110 ",/ca/san-francisco/350006-evergreen-garden-restaurant/menu/
May Lee Chinese Restaurant,Chinese,"1256 7th Ave San Francisco, CA, 94122 ",/ca/san-francisco/44525-may-lee-chinese-restaurant/menu/
Lou's Cafe,"Coffee & Tea, Deli Food, Sandwiches","5017 Geary Blvd San Francisco, CA, 94118 ",/ca/san-francisco/354515-lous-cafe/menu/
Grandeho's Kamekyo Sushi Bar,"Japanese, Sushi","2721 Hyde St San Francisco, CA, 94109 ",/ca/san-francisco/64964-grandehos-kamekyo-sushi-bar/menu/
Sammy's Gourmet Deli,"American (New), Deli Food","1416 Bush Street San Francisco, CA, 94109 ",/ca/san-francisco/308537-sammys-gourmet-deli/menu/
Mahalo!,"American, Coffee & Tea","1376 9th Ave San Francisco, CA, 94112 ",/ca/san-francisco/276048-mahalo/menu/
Quince,"Bistro, French, Italian","470 Pacific Ave San Francisco, CA, 94133 ",/ca/san-francisco/114411-quince/menu/
Taqueria La Cumbre - San Francisco,Mexican,"515 Valencia St San Francisco, CA, 94110 ",/ca/san-francisco/63188-taqueria-la-cumbre-san-francisco/menu/
Last Drop Tavern,"American, Bar Food","550 Powell St San Francisco, CA, 94108 ",/ca/san-francisco/434439-last-drop-tavern/menu/
Angel Cafe & Deli,"Mediterranean, Middle Eastern","700 Geary St San Francisco, CA, 94109 ",/ca/san-francisco/275830-angel-cafe-deli/menu/
Tawan's Thai Food,"Thai, Vegetarian","4403 Geary Blvd San Francisco, CA, 94118 ",/ca/san-francisco/62772-tawans-thai-food/menu/
El Nuevo Frutilandia,"Caribbean, Cuban, Latin American, Puerto Rican","3077 24th St San Francisco, CA, 94110 ",/ca/san-francisco/81765-el-nuevo-frutilandia/menu/
ARIA Korean Street Food,Korean,"932 Larkin St San Francisco, CA, 94109 ",/ca/san-francisco/365946-aria-korean-street-food/menu/
Sushi Taka,"Japanese, Sushi","600 Kearny St San Francisco, CA, 94108 ",/ca/san-francisco/312604-sushi-taka/menu/
Specialty's Cafe & Bakery,Sandwiches,"101 New Montgomery St San Francisco, CA, 94105 ",/ca/san-francisco/205761-specialtys-cafe-bakery/menu/
North Beach Pizza,"Italian, Pizza","3054 Taraval St San Francisco, CA, 94116 ",/ca/san-francisco/44778-north-beach-pizza/menu/
Connecticut Yankee,"Bar Food, New England, Wings","100 Connecticut St San Francisco, CA, 94107 ",/ca/san-francisco/61857-connecticut-yankee/menu/
Morning Brew Coffee,"Coffee & Tea, Smoothies & Juices, Teahouses","401 Sansome St San Francisco, CA, 94111 ",/ca/san-francisco/46916-morning-brew-coffee/menu/
Ella's American Kitchen,American,"590 Van Ness Ave San Francisco, CA, 94102 ",/ca/san-francisco/275798-ellas-american-kitchen/menu/
Tenglong Chinese Restaurant,Chinese,"208 Clement St San Francisco, CA, 94118 ",/ca/san-francisco/340408-tenglong-chinese-restaurant/menu/
Orbit Room,"Cocktails, Local/Organic, Pizza","1900 Market St San Francisco, CA, 94102 ",/ca/san-francisco/304152-orbit-room/menu/
Sutter St. Cafe,"Coffee & Tea, Sandwiches","450 Sutter St San Francisco, CA, 94108 ",/ca/san-francisco/378888-sutter-st-cafe/menu/
Chavitas,Mexican,"3006 Mission St San Francisco, CA, 94110 ",/ca/san-francisco/63181-chavitas/menu/
Deccan House,,"1142 Valencia St San Francisco, CA, 94110 ",/ca/san-francisco/502927-deccan-house/menu/
Pizzeria Delfina - Mission Heights,Pizza,"3611 18th St San Francisco, CA, 94110 ",/ca/san-francisco/93925-pizzeria-delfina-mission-heights/menu/
Gold Mirror Italian Restaurant,Italian,"800 Taraval Street San Francisco, CA, 94116 ",/ca/san-francisco/276381-gold-mirror-italian-restaurant/menu/
SF Hole In The Wall Pizza,"American, Healthy, Italian, Pizza, Salads, Sandwiches","3244 Scott St San Francisco, CA, 94123 ",/ca/san-francisco/307630-sf-hole-in-the-wall-pizza/menu/
The Slice,Pizza,"719 14th St San Francisco, CA, 94114 ",/ca/san-francisco/63719-the-slice/menu/
The Iron Cactus,Mexican,"683 4th St San Francisco, CA, 94107 ",/ca/san-francisco/359917-the-iron-cactus/menu/
Ty Sandwich,,"4829 Mission St San Francisco, CA, 94112 ",/ca/san-francisco/434656-ty-sandwich/menu/
Irving Subs,Sandwiches,"1298 12th Ave San Francisco, CA, 94122 ",/ca/san-francisco/389142-irving-subs/menu/
Akiko's Sushi Bar,"Japanese, Sushi","542 Mason St Ste A San Francisco, CA, 94102 ",/ca/san-francisco/276053-akikos-sushi-bar/menu/
Extreme Pizza,Pizza,"1730 Fillmore St San Francisco, CA, 94115 ",/ca/san-francisco/45307-extreme-pizza/menu/
Amicis East Coast Pizzeria,"Italian, Pizza","2200 Lombard St San Francisco, CA, 94123 ",/ca/san-francisco/19596-amicis-east-coast-pizzeria/menu/
O-Toro Sushi,"Japanese, Sushi","205 Oak St San Francisco, CA, 94102 ",/ca/san-francisco/340945-o-toro-sushi/menu/
Hot Sauce & Panko,"Chicken, Sandwiches","1468 Hyde St San Francisco, CA, 94109 ",/ca/san-francisco/355062-hot-sauce-panko/menu/
Tuyet Mai Restaurant,Vietnamese,"547 Hyde St San Francisco, CA, 94109 ",/ca/san-francisco/477629-tuyet-mai-restaurant/menu/
Takara Sushi SF,"Japanese, Sushi","4243 18th St San Francisco, CA, 94114 ",/ca/san-francisco/300185-takara-sushi-sf/menu/
Mexico au Parc,Mexican,"24 S Park St San Francisco, CA, 94107 ",/ca/san-francisco/353229-mexico-au-parc/menu/
Rosamunde Sausage Grill ,"German, Hot Dogs","2832 Mission St San Francisco, CA, 94110 ",/ca/san-francisco/299891-rosamunde-sausage-grill/menu/
Mochica,"Peruvian, South American, Tapas","1469 18th St San Francisco, CA, 94107 ",/ca/san-francisco/477388-mochica/menu/
Marnee Thai,Thai,"1243 9th Ave San Francisco, CA, 94122 ",/ca/san-francisco/44452-marnee-thai/menu/
Mangrove Kitchen,,"312 Divisadero St San Francisco, CA, 94117 ",/ca/san-francisco/337398-mangrove-kitchen/menu/
Lers Ros Thai,"Thai, Vegetarian","730 Larkin St San Francisco, CA, 94109 ",/ca/san-francisco/285483-lers-ros-thai/menu/
Suppenkuche,German,"525 Laguna St San Francisco, CA, 94102 ",/ca/san-francisco/275894-suppenkuche/menu/
House of Thai 2,Thai,"494 Haight St San Francisco, CA, 94117 ",/ca/san-francisco/386610-house-of-thai-2/menu/
El Mansour,Moroccan,"3119 Clement St San Francisco, CA, 94121 ",/ca/san-francisco/275903-el-mansour/menu/
Miss Saigon,Vietnamese,"100 6th St San Francisco, CA, 94103 ",/ca/san-francisco/317934-miss-saigon/menu/
Taqueria San Jose,Mexican,"2830 Mission St San Francisco, CA, 94110 ",/ca/san-francisco/63176-taqueria-san-jose/menu/
KFC,"American, Chicken","1150 Taraval St San Francisco, CA, 94116 ",/ca/san-francisco/197762-kfc/menu/
Good Luck Cafe,"Coffee & Tea, Deli Food, Sandwiches","621 Kearny St San Francisco, CA, 94108 ",/ca/san-francisco/275804-good-luck-cafe/menu/
King of Noodles,"Chinese, Noodles","1639 Irving St San Francisco, CA, 94122 ",/ca/san-francisco/367336-king-of-noodles/menu/
Sushi Toni,"Japanese, Sushi","733 Bush St, San Francisco, CA, 94108 ",/ca/san-francisco/361625-sushi-toni/menu/
Morty's Delicatessen,"Deli Food, Sandwiches","280 Golden Gate Ave San Francisco, CA, 94102 ",/ca/san-francisco/45527-mortys-delicatessen/menu/
Mr Szechuan,,"890 Taraval St San Francisco, CA, 94116 ",/ca/san-francisco/504796-mr-szechuan/menu/
Double Decker - NEW,Burgers,"465 Grove Street San Francisco, CA, 94102 ",/ca/san-francisco/270714-double-decker-new/menu/
India Clay Oven Restaurant and Full Bar,Indian,"2436 Clement St San Francisco, CA, 94121 ",/ca/san-francisco/62025-india-clay-oven-restaurant-and-full-bar/menu/
Turtle Tower Restaurant,Vietnamese,"645 Larkin St San Francisco, CA, 94109 ",/ca/san-francisco/63133-turtle-tower-restaurant/menu/
Ono Hawaiian BBQ ONO-#201,"Barbecue, Hawaiian","1501 Sloat Blvd Ste A San Francisco, CA, 94132 ",/ca/san-francisco/353225-ono-hawaiian-bbq-ono-201/menu/
Enjoy Vegetarian Restaurant,"Chinese, Vegan, Vegetarian","754 Kirkham St San Francisco, CA, 94122 ",/ca/san-francisco/44922-enjoy-vegetarian-restaurant/menu/
The Vestry,American (New),"777 Valencia St San Francisco, CA, 94110 ",/ca/san-francisco/373850-the-vestry/menu/
Cuppa,Desserts,"2810 Diamond St San Francisco, CA, 94131 ",/ca/san-francisco/323875-cuppa/menu/
San Francisco Athletic Club,"Bar Food, Hot Dogs, Wings","1750 Divisadero St San Francisco, CA, 94115 ",/ca/san-francisco/476417-san-francisco-athletic-club/menu/
Al-Masri Egyptian Restaurant,Middle Eastern,"4031 Balboa St San Francisco, CA, 94121 ",/ca/san-francisco/20975-al-masri-egyptian-restaurant/menu/
Gateway Croissant,"Bakery & Pastries, Coffee & Tea","390 Golden Gate Ave San Francisco, CA, 94102 ",/ca/san-francisco/307598-gateway-croissant/menu/
Tara Indian Cuisine,Indian,"2217 Market St San Francisco, CA, 94114 ",/ca/san-francisco/63700-tara-indian-cuisine/menu/
KFC,"American, Chicken","4285 Mission St San Francisco, CA, 94112 ",/ca/san-francisco/197760-kfc/menu/
The Cove on Castro,"American, Diner","434 Castro St San Francisco, CA, 94114 ",/ca/san-francisco/276452-the-cove-on-castro/menu/
Kasa Indian Eatery (Castro),Indian,"4001 18th St San Francisco, CA, 94114 ",/ca/san-francisco/272970-kasa-indian-eatery-castro/menu/
Sabor De San Miguel,Latin American,"3263 Mission St San Francisco, CA, 94110 ",/ca/san-francisco/63672-sabor-de-san-miguel/menu/
My Favorite Cafe,"Asian Fusion, Chinese, Desserts","2110 Clement St San Francisco, CA, 94121 ",/ca/san-francisco/276065-my-favorite-cafe/menu/
Cups And Cakes Bakery,"Bakery & Pastries, Desserts","451 9th St San Francisco, CA, 94103 ",/ca/san-francisco/306508-cups-and-cakes-bakery/menu/
Good Use #2,"Sandwiches, Teahouses","470 3rd St San Francisco, CA, 94107 ",/ca/san-francisco/354337-good-use-2/menu/
Waraku Ramen Dining,"Japanese, Noodles","1638 Post St San Francisco, CA, 94115 ",/ca/san-francisco/357156-waraku-ramen-dining/menu/
Zingari Ristorante,Italian,"501 Post St San Francisco, CA, 94102 ",/ca/san-francisco/22034-zingari-ristorante/menu/
TJ Cups,,"2437 Noriega St San Francisco, CA, 94122 ",/ca/san-francisco/485133-tj-cups/menu/
Jika Ramen & Sushi House,"Japanese, Noodles, Sushi","2786 California St San Francisco, CA, 94115 ",/ca/san-francisco/403230-jika-ramen-sushi-house/menu/
Domo,"Japanese, Sushi","511 Laguna St San Francisco, CA, 94102 ",/ca/san-francisco/276132-domo/menu/
Tony's Cable Car Restaurant,"Burgers, Sandwiches","2500 Geary Blvd San Francisco, CA, 94115 ",/ca/san-francisco/349758-tonys-cable-car-restaurant/menu/
Bite,"Hot Dogs, Sandwiches","912 Sutter St San Francisco, CA, 94104 ",/ca/san-francisco/355470-bite/menu/
Patxi's Pizza (Hayes Street),Pizza,"511 Hayes St San Francisco, CA, 94102 ",/ca/san-francisco/63162-patxis-pizza-hayes-street/menu/
Wok & Go,Chinese,"2700 24th St San Francisco, CA, 94110 ",/ca/san-francisco/309889-wok-go/menu/
Tsing's Chinese Restaurant,"Asian, Chinese, Lunch Specials, Noodles","361 W Portal Ave San Francisco, CA, 94127 ",/ca/san-francisco/311423-tsings-chinese-restaurant/menu/
Rock Japanese Cuisine,"Japanese, Sushi","614 Pine St San Francisco, CA, 94108 ",/ca/san-francisco/282459-rock-japanese-cuisine/menu/
